"","term","obama","romney","total","attr_importance","max","belong"
"3845","httpcoslazkde",96,0,96,0.0204999338357146,96,"obama"
"5769","ohio",24,173,197,0.0186837379401463,173,"romney"
"2451","fema",30,169,199,0.0166484544887053,169,"romney"
"6441","rally",3,91,94,0.0160620114926415,91,"romney"
"5222","michaelskolnik",1,79,80,0.0154574868467532,79,"romney"
"7185","signed",0,69,69,0.0147264955252089,69,"romney"
"7681","taxes",1,122,123,0.0141846486677955,122,"romney"
"6493","realdonaldtrump",24,134,158,0.0132818265313095,134,"romney"
"3690","httpcooepuxjmo",0,59,59,0.0125727378605502,59,"romney"
"8625","york",74,3,77,0.0125125317355126,74,"obama"
"3413","httpcofuaqvh",58,0,58,0.0123125589149258,58,"obama"
"7761","text",1,63,64,0.0120733352237226,63,"romney"
"583","bbcbreaking",62,1,63,0.0118153939337813,62,"obama"
"3151","homes",62,1,63,0.0118153939337813,62,"obama"
"2485","fire",70,3,73,0.0117025055353002,70,"obama"
"1822","destroyed",60,1,61,0.0113966439071793,60,"obama"
"1657","day",127,26,153,0.0113420535572122,127,"obama"
"1710","declared",59,1,60,0.011187491865458,59,"obama"
"2635","friends",74,5,79,0.0111127277328131,74,"obama"
"8282","victims",20,109,129,0.0109354002373643,109,"romney"
"6767","robdelaney",0,49,49,0.0104256540122563,49,"romney"
"6435","raise",1,55,56,0.00997634900891575,55,"romney"
"2277","event",3,60,63,0.00953993209132875,60,"romney"
"3186","hoursofhell",55,2,57,0.00945079233788393,55,"obama"
"653","benghazi",175,53,228,0.00942519811250042,175,"obama"
"6533","redcross",31,80,111,0.0090807334407883,80,"romney"
"5030","major",64,5,69,0.00898871673067059,64,"obama"
"7963","towards",0,41,41,0.00871276322460623,41,"romney"
"526","ballot",51,2,53,0.00864097048844181,51,"obama"
"4622","key",46,1,47,0.00848361975096257,46,"obama"
"5894","oval",40,0,40,0.00846791684212955,40,"obama"
"8287","video",80,13,93,0.00834036014094486,80,"obama"
"624","begun",39,0,39,0.00825495099835249,39,"obama"
"1979","donating",0,38,38,0.00807151882461588,38,"romney"
"7212","single",44,1,45,0.0080704651033443,44,"obama"
"3539","httpcojgmzwah",38,0,38,0.00804205070303299,38,"obama"
"4014","httpcoxaeqqde",38,0,38,0.00804205070303299,38,"obama"
"2394","families",47,2,49,0.00783581604659478,47,"obama"
"2558","foot",42,1,43,0.00765818842040766,42,"obama"
"8346","voting",137,43,180,0.00765818842040766,137,"obama"
"1264","click",0,36,36,0.00764435183563972,36,"romney"
"1067","cast",46,2,48,0.00763532666195288,46,"obama"
"3599","httpcoldqcgk",36,0,36,0.00761644658992444,36,"obama"
"7083","set",44,2,46,0.00723538398766843,44,"obama"
"3486","httpcohmxpol",0,33,33,0.00700409442480554,33,"romney"
"7675","tax",4,51,55,0.0069425579367195,51,"romney"
"1679","dear",22,90,112,0.00691354765612173,90,"romney"
"6590","relief",113,233,346,0.00691035834051856,233,"romney"
"1678","deanstjames",0,32,32,0.00679080660549425,32,"romney"
"7693","tcot",98,208,306,0.00660924208431624,208,"romney"
"268","amp",173,217,390,0,217,"both"
"2135","election",136,113,249,0,136,"both"
"7594","support",134,104,238,0,134,"both"
"6531","red",120,98,218,0,120,"both"
"1546","cross",114,94,208,0,114,"both"
"3076","help",134,72,206,0,134,"both"
"1890","disaster",74,128,202,0,128,"both"
"6124","please",66,77,143,0,77,"both"
"252","america",54,85,139,0,85,"both"
"6013","people",70,59,129,0,70,"both"
"993","campaign",46,75,121,0,75,"both"
"8331","voted",67,53,120,0,67,"both"
"259","americans",62,49,111,0,62,"both"
"4160","hurricane",34,77,111,0,77,"both"
"1024","cantaffordmore",47,57,104,0,57,"both"
"6635","reppaulryan",41,59,100,0,59,"both"
"5689","obama",61,36,97,0,61,"both"
"7887","time",51,43,94,0,51,"both"
"8430","week",61,31,92,0,61,"both"
"3095","hey",45,46,91,0,46,"both"
"1286","cnn",38,49,87,0,49,"both"
"5987","paulryanvp",18,58,76,0,58,"both"
"7835","thinking",43,27,70,0,43,"both"
"8276","via",37,33,70,0,37,"both"
"8341","voters",52,18,70,0,52,"both"
"5356","money",26,38,64,0,38,"both"
"7765","thank",43,21,64,0,43,"both"
"1135","change",15,48,63,0,48,"both"
"8470","white",20,43,63,0,43,"both"
"154","agree",41,20,61,0,41,"both"
"2863","govchristie",43,18,61,0,43,"both"
"4229","imagine",31,30,61,0,31,"both"
"8399","watch",26,35,61,0,35,"both"
"2524","florida",41,19,60,0,41,"both"
"7890","times",28,30,58,0,30,"both"
"3187","house",20,37,57,0,37,"both"
"2466","fighting",44,12,56,0,44,"both"
"6176","polls",15,41,56,0,41,"both"
"8308","visit",24,32,56,0,32,"both"
"4773","leadership",30,25,55,0,30,"both"
"8504","win",20,34,54,0,34,"both"
"1977","donate",19,33,52,0,33,"both"
"2316","expandthemap",12,40,52,0,40,"both"
"7711","teaparty",18,34,52,0,34,"both"
"977","call",39,12,51,0,39,"both"
"2608","foxnews",21,29,50,0,29,"both"
"4855","life",33,17,50,0,33,"both"
"6314","promised",26,24,50,0,26,"both"
"254","american",20,29,49,0,29,"both"
"4963","love",25,23,48,0,25,"both"
